freq (Hz),x0 (mm),x1 (mm),x2 (mm),x3 (mm),y0 (mm),y1 (mm),y2 (mm),y3 (mm),sum_sii (dB),sum_sij (db)
3.4,-24.41,-24.41,24.41,24.41,-101.41,16.41,-16.41,16.41,-13.05777949,-173.2259409
3.4,-75.01,-24.41,24.41,24.41,-86.41,16.41,-16.41,16.41,-13.55242215,-167.270439
3.4,-60.01,-24.41,24.41,24.41,-86.41,16.41,-16.41,16.41,-13.28168758,-166.5370823
3.4,-45.01,-24.41,24.41,24.41,-86.41,16.41,-16.41,16.41,-13.3677218,-182.9787198
3.4,-30.01,-24.41,24.41,24.41,-86.41,16.41,-16.41,16.41,-13.52043524,-173.8166998
3.4,-24.41,-24.41,24.41,24.41,-86.41,16.41,-16.41,16.41,-13.18418187,-167.6612588
3.4,-75.01,-24.41,24.41,24.41,-71.41,16.41,-16.41,16.41,-12.86172032,-163.0078249
3.4,-60.01,-24.41,24.41,24.41,-71.41,16.41,-16.41,16.41,-13.60169546,-159.3158045
3.4,-45.01,-24.41,24.41,24.41,-71.41,16.41,-16.41,16.41,-13.22462889,-182.8477994
3.4,-30.01,-24.41,24.41,24.41,-71.41,16.41,-16.41,16.41,-13.24259582,-172.3629807
3.4,-24.41,-24.41,24.41,24.41,-71.41,16.41,-16.41,16.41,-13.61296707,-163.9489709
3.4,-75.01,-24.41,24.41,24.41,-56.41,16.41,-16.41,16.41,-13.30891719,-158.9611775
3.4,-60.01,-24.41,24.41,24.41,-56.41,16.41,-16.41,16.41,-13.50325362,-156.7449963
3.4,-45.01,-24.41,24.41,24.41,-56.41,16.41,-16.41,16.41,-12.68895681,-183.4052167
3.4,-30.01,-24.41,24.41,24.41,-56.41,16.41,-16.41,16.41,-13.29777125,-171.5532053
3.4,-24.41,-24.41,24.41,24.41,-56.41,16.41,-16.41,16.41,-13.21521473,-163.6869736
3.4,-75.01,-24.41,24.41,24.41,-41.41,16.41,-16.41,16.41,-13.37152132,-156.4528931
3.4,-60.01,-24.41,24.41,24.41,-41.41,16.41,-16.41,16.41,-13.11017555,-155.0532162
3.4,-45.01,-24.41,24.41,24.41,-41.41,16.41,-16.41,16.41,-13.73465546,-178.9282354
3.4,-30.01,-24.41,24.41,24.41,-41.41,16.41,-16.41,16.41,-13.49407253,-169.3386433
3.4,-24.41,-24.41,24.41,24.41,-41.41,16.41,-16.41,16.41,-13.37052832,-160.1257295
3.4,-75.01,-24.41,24.41,24.41,-26.41,16.41,-16.41,16.41,-13.11731012,-152.0892186
3.4,-60.01,-24.41,24.41,24.41,-26.41,16.41,-16.41,16.41,-13.14433336,-149.2241347
3.4,-45.01,-24.41,24.41,24.41,-26.41,16.41,-16.41,16.41,-13.25481773,-178.5101053
3.4,-30.01,-24.41,24.41,24.41,-26.41,16.41,-16.41,16.41,-14.11250051,-165.1370483
3.4,-24.41,-24.41,24.41,24.41,-26.41,16.41,-16.41,16.41,-12.90858672,-157.7251234
3.45,-24.41,-75.01,24.41,24.41,-16.41,16.41,-16.41,16.41,-25.48616948,-164.8648371
3.45,-24.41,-75.01,24.41,24.41,-16.41,31.41,-16.41,16.41,-24.18348205,-173.9156722
3.45,-24.41,-75.01,24.41,24.41,-16.41,46.41,-16.41,16.41,-24.1086293,-174.6411395
